연번,지자체명,세부사업명,예산(백만원)
510,대구,글로벌강소기업경쟁력강화사업(국가직접지원),200.0
511,대구,나노융합기술인력양성사업(국가직접지원),67.0
512,대구,지역에코혁신사업(국가직접지원),77.0
513,대구,한국섬유개발연구원운영위탁,100.0
514,대구,대경권디지털품질역량강화(국가직접지원),85.0
515,대구,여성벤처기업성장지원(국가직접지원),12.0
516,대구,예비창업패키지지원사업(국가직접지원),140.0
517,대구,IP활용창업·성장지원(국가직접지원),398.0
518,대구,지식재산창출지원사업(국가직접지원),730.0
519,대구,창업도약패키지지원사업(국가직접지원),150.0
520,대구,초기창업패키지지원사업(국가직접지원),400.0
521,대구,기계산업수출역량강화사업,390.0
522,대구,첨단산업용섬유기계핵심모듈부품기술개발,61.23
523,대구,장애경제인육성지원(국가직접지원),205.0
524,대구,미래모빌리티선도기술개발사업,1022.45
525,대구,종합유통단지관리운영,1070.0
526,대구,위생관리시설융자,300.0
527,대구,지역투자촉진,5543.82
528,대구,대구콘텐츠기업지원센터운영(국가직접지원),400.0
529,대구,중소기업육성지원,435.392
530,대구,중소기업기술정보지원사업,40.0
531,대구,뿌리기술장인노하우디지털전승사업,212.0
532,대구,소상공인고용보험지원,220.0
533,대구,거점기관개방형혁신사업(국가직접지원),394.0
534,대구,디지털헬스케어의료기기실증지원(국가직접지원),800.0
535,대구,한의약제품및기술개발지원사업,405.0
536,대구,뿌리기업의차세대전환지원사업,229.77
537,대구,정밀기계가공산업육성사업(국가직접지원),440.0
